,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,no_response,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06232022hr1433,fullscreen,0,1294714,0.0-0.0,0,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,1507063,0.0-1.0-0.0-0.0,0,0,98,"[{""page_index"":0,""viewing_time"":90520},{""page_index"":1,""viewing_time"":21281},{""page_index"":2,""viewing_time"":25714},{""page_index"":3,""viewing_time"":23480},{""page_index"":4,""viewing_time"":16200},{""page_index"":5,""viewing_time"":26966},{""page_index"":6,""viewing_time"":8182}]",212345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,1561705,0.0-1.0-0.0-1.0,0,0,98,,54636.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,1597694,0.0-1.0-1.0,0,0,98,,35984.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,1599204,0.0-1.0-2.0-0.0-0.0,0,0,98,,,,,,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,0.0,1.5,,,,,,,,,,,,,,,
5,,isi,,html-keyboard-response,5,1600713,0.0-1.0-2.0-0.0-2.0,0,0,98,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,,,,,,,,,
6,,no_response,,html-keyboard-response,6,1601720,0.0-1.0-2.0-0.0-4.0-0.0,0,0,98,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,
7,,iti,,html-keyboard-response,7,1602728,0.0-1.0-2.0-0.0-5.0,0,0,98,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,
8,,choice,,html-keyboard-response,8,1603659,0.0-1.0-2.0-0.1-0.1,0,0,98,,926.0,,,50.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,0.0,5.0,0.926,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,,,,,,
9,,confirmation,,html-keyboard-response,9,1604238,0.0-1.0-2.0-0.1-1.1-0.1,0,0,98,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,5.926,0.574,,,,,,,,,,,,,,,
10,,isi,,html-keyboard-response,10,1605742,0.0-1.0-2.0-0.1-2.1,0,0,98,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,6.5,1.5,,,,,,,,,,,,,,,
11,,feedback,,html-keyboard-response,11,1606750,0.0-1.0-2.0-0.1-3.1-0.1,0,0,98,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,
12,,iti,,html-keyboard-response,12,1607754,0.0-1.0-2.0-0.1-5.1,0,0,98,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,
13,,choice,,html-keyboard-response,13,1608885,0.0-1.0-3.0-0.0-0.0,0,0,98,,1127.0,,,50.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,0.0,10.0,1.127,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,,,,,,
14,,confirmation,,html-keyboard-response,14,1609262,0.0-1.0-3.0-0.0-1.0-0.0,0,0,98,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,11.127,0.373,,,,,,,,,,,,,,,
15,,isi,,html-keyboard-response,15,1612270,0.0-1.0-3.0-0.0-2.0,0,0,98,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,11.5,3.0,,,,,,,,,,,,,,,
16,,feedback,,html-keyboard-response,16,1613278,0.0-1.0-3.0-0.0-3.0-0.0,0,0,98,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,14.5,1.0,,,,,,,,,,,,,,,
17,,iti,,html-keyboard-response,17,1614782,0.0-1.0-3.0-0.0-5.0,0,0,98,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,15.5,1.5,,,,,,,,,,,,,,,
18,,choice,,html-keyboard-response,18,1616024,0.0-1.0-4.0-0.0-0.0,0,0,98,,1238.0,,,51.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,0.0,17.0,1.238,0.0,dumbbell,clock,80.0,60.0,dumbbell2,clock2,100.0,60.0,,,,,,
19,,confirmation,,html-keyboard-response,19,1616291,0.0-1.0-4.0-0.0-1.0-0.0,0,0,98,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,18.238,0.262,,,,,,,,,,,,,,,
20,,isi,,html-keyboard-response,20,1618297,0.0-1.0-4.0-0.0-2.0,0,0,98,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,18.5,2.0,,,,,,,,,,,,,,,
