,event,trial,time,PID
0,fullscreenenter,0,1622,96511
1,fullscreenexit,1,3656,96511
2,blur,331,478703,96511
3,focus,331,505819,96511
4,blur,404,587480,96511
5,focus,407,590411,96511
6,blur,410,593825,96511
7,focus,412,596027,96511
8,blur,415,598795,96511
9,focus,415,599580,96511
10,blur,415,599587,96511
11,focus,417,602868,96511
12,blur,420,606732,96511
13,focus,420,606897,96511
14,blur,420,606909,96511
15,focus,421,608492,96511
16,blur,486,681504,96511
17,focus,488,683946,96511
18,blur,494,693215,96511
19,focus,497,695833,96511
20,blur,515,715594,96511
21,focus,519,721201,96511
22,blur,558,773877,96511
23,focus,561,778230,96511
24,blur,566,783904,96511
25,focus,566,785089,96511
26,blur,568,788397,96511
27,focus,569,791102,96511
28,blur,573,795546,96511
29,focus,575,796995,96511
30,blur,587,812385,96511
31,focus,588,814461,96511
32,blur,618,846541,96511
33,focus,618,847682,96511
34,blur,630,863393,96511
35,focus,631,868379,96511
36,blur,631,871801,96511
37,focus,631,877454,96511
38,blur,631,882450,96511
39,focus,631,915733,96511
40,blur,1235,1630276,96511
41,focus,1235,1650353,96511
