,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,no_response,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06032022hr1517,fullscreen,0,6320,0.0-0.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,101427,0.0-1.0-0.0-0.0,0,0,59346,"[{""page_index"":0,""viewing_time"":19629},{""page_index"":1,""viewing_time"":17805},{""page_index"":2,""viewing_time"":15348},{""page_index"":3,""viewing_time"":14023},{""page_index"":4,""viewing_time"":8981},{""page_index"":5,""viewing_time"":15363},{""page_index"":6,""viewing_time"":3950}]",95100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,126771,0.0-1.0-0.0-1.0,0,0,59346,,25330.0,"{""Q0"":""True"",""Q1"":""False"",""Q2"":""Change"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,129856,0.0-1.0-0.0-2.0-0.0,0,0,59346,,3064.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,category_learning_instructions,,instructions,4,187536,0.0-1.0-0.1-0.1,0,0,59346,"[{""page_index"":0,""viewing_time"":4602},{""page_index"":1,""viewing_time"":23526},{""page_index"":2,""viewing_time"":7318},{""page_index"":3,""viewing_time"":8574},{""page_index"":4,""viewing_time"":7384},{""page_index"":5,""viewing_time"":4405},{""page_index"":6,""viewing_time"":1864}]",57673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,category_learning_comprehension_check,,survey-multi-choice,5,308273,0.0-1.0-0.1-1.1,0,0,59346,,120725.0,"{""Q0"":""False"",""Q1"":""False"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,missed_instruction_checkup,,html-keyboard-response,6,310600,0.0-1.0-0.1-2.1-0.1,0,0,59346,,2309.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,category_learning_instructions,,instructions,7,326166,0.0-1.0-0.2-0.2,0,0,59346,"[{""page_index"":0,""viewing_time"":8762},{""page_index"":1,""viewing_time"":2194},{""page_index"":2,""viewing_time"":1290},{""page_index"":3,""viewing_time"":738},{""page_index"":4,""viewing_time"":738},{""page_index"":5,""viewing_time"":1028},{""page_index"":6,""viewing_time"":807}]",15558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,category_learning_comprehension_check,,survey-multi-choice,8,347148,0.0-1.0-0.2-1.2,0,0,59346,,20957.0,"{""Q0"":""True"",""Q1"":""False"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,missed_instruction_checkup,,html-keyboard-response,9,348828,0.0-1.0-0.2-2.2-0.2,0,0,59346,,1664.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,category_learning_instructions,,instructions,10,354900,0.0-1.0-0.3-0.3,0,0,59346,"[{""page_index"":0,""viewing_time"":2144},{""page_index"":1,""viewing_time"":990},{""page_index"":2,""viewing_time"":621},{""page_index"":3,""viewing_time"":631},{""page_index"":4,""viewing_time"":582},{""page_index"":5,""viewing_time"":495},{""page_index"":6,""viewing_time"":601}]",6065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,category_learning_comprehension_check,,survey-multi-choice,11,382818,0.0-1.0-0.3-1.3,0,0,59346,,27907.0,"{""Q0"":""False"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,missed_instruction_checkup,,html-keyboard-response,12,384625,0.0-1.0-0.3-2.3-0.3,0,0,59346,,1787.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,category_learning_instructions,,instructions,13,414181,0.0-1.0-0.4-0.4,0,0,59346,"[{""page_index"":0,""viewing_time"":2281},{""page_index"":1,""viewing_time"":747},{""page_index"":2,""viewing_time"":602},{""page_index"":3,""viewing_time"":601},{""page_index"":4,""viewing_time"":893},{""page_index"":3,""viewing_time"":437},{""page_index"":2,""viewing_time"":863},{""page_index"":1,""viewing_time"":4823},{""page_index"":2,""viewing_time"":11306},{""page_index"":3,""viewing_time"":4658},{""page_index"":4,""viewing_time"":786},{""page_index"":5,""viewing_time"":863},{""page_index"":6,""viewing_time"":690}]",29551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,category_learning_comprehension_check,,survey-multi-choice,14,461378,0.0-1.0-0.4-1.4,0,0,59346,,47185.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,html-keyboard-response,15,463601,0.0-1.0-1.0,0,0,59346,,2200.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
