,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06032022hr1606,fullscreen,0,16647,0.0-0.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,73786,0.0-1.0-0.0-0.0,0,0,64747,"[{""page_index"":0,""viewing_time"":11443},{""page_index"":1,""viewing_time"":14152},{""page_index"":2,""viewing_time"":12286},{""page_index"":3,""viewing_time"":6980},{""page_index"":4,""viewing_time"":7539},{""page_index"":5,""viewing_time"":2743},{""page_index"":6,""viewing_time"":1991}]",57134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,92659,0.0-1.0-0.0-1.0,0,0,64747,,18865.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,94785,0.0-1.0-1.0,0,0,64747,,2118.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,95720,0.0-1.0-2.0-0.0-0.0,0,0,64747,,926.0,,,68.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,0.0,0.926,0.926,,,,,,
5,,confirmation,,html-keyboard-response,5,96306,0.0-1.0-2.0-0.0-1.0-0.0,0,0,64747,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.574,,,,,,
6,,isi,,html-keyboard-response,6,97813,0.0-1.0-2.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,,,,,,
7,,feedback,,html-keyboard-response,7,98823,0.0-1.0-2.0-0.0-3.0-0.0,0,0,64747,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,
8,,iti,,html-keyboard-response,8,99829,0.0-1.0-2.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,
9,,choice,,html-keyboard-response,9,100751,0.0-1.0-3.0-0.0-0.0,0,0,64747,,915.0,,,75.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,0.0,bagel,calculator,20.0,40.0,bagel2,calculator2,20.0,20.0,0.0,5.915,0.915,,,,,,
10,,confirmation,,html-keyboard-response,10,101343,0.0-1.0-3.0-0.0-1.0-0.0,0,0,64747,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.585,,,,,,
11,,isi,,html-keyboard-response,11,104350,0.0-1.0-3.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,3.0,,,,,,
12,,feedback,,html-keyboard-response,12,105373,0.0-1.0-3.0-0.0-3.0-0.0,0,0,64747,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.0,,,,,,
13,,iti,,html-keyboard-response,13,106877,0.0-1.0-3.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.5,,,,,,
14,,choice,,html-keyboard-response,14,107846,0.0-1.0-4.0-0.0-0.0,0,0,64747,,962.0,,,75.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,0.0,dumbbell,clock,80.0,60.0,dumbbell2,clock2,100.0,60.0,0.0,12.962,0.962,,,,,,
15,,confirmation,,html-keyboard-response,15,108393,0.0-1.0-4.0-0.0-1.0-0.0,0,0,64747,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.538,,,,,,
16,,isi,,html-keyboard-response,16,110400,0.0-1.0-4.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,2.0,,,,,,
17,,feedback,,html-keyboard-response,17,111408,0.0-1.0-4.0-0.0-3.0-0.0,0,0,64747,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.0,,,,,,
18,,iti,,html-keyboard-response,18,114414,0.0-1.0-4.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,3.0,,,,,,
19,,choice,,html-keyboard-response,19,115061,0.0-1.0-5.0-0.0-0.0,0,0,64747,,637.0,,,68.0,3.0,3.0,1000.0,2000.0,1.0,0.0,0.0,40-80,,0.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,22829184.thl.jpg,Aalarmclock2.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829184.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/Aalarmclock2.jpg,1.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,0.0,20.137,0.637,,,,,,
20,,confirmation,,html-keyboard-response,20,115929,0.0-1.0-5.0-0.0-1.0-0.0,0,0,64747,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.863,,,,,,
21,,isi,,html-keyboard-response,21,116936,0.0-1.0-5.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,,
22,,feedback,,html-keyboard-response,22,117943,0.0-1.0-5.0-0.0-3.0-0.0,0,0,64747,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,,,,
23,,iti,,html-keyboard-response,23,119949,0.0-1.0-5.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,,,,,,
24,,choice,,html-keyboard-response,24,120807,0.0-1.0-6.0-0.0-0.0,0,0,64747,,850.0,,,68.0,4.0,4.0,2500.0,2500.0,1.0,0.0,0.0,20-60,,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,41K7QVRX50L._SS500_.jpg,photo-169.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/41K7QVRX50L._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/photo-169.jpg,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,0.0,25.85,0.85,1.0,,,,,
25,,confirmation,,html-keyboard-response,25,121474,0.0-1.0-6.0-0.0-1.0-0.0,0,0,64747,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,0.65,,,,,,
26,,isi,,html-keyboard-response,26,123979,0.0-1.0-6.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2.5,,,,,,
27,,feedback,,html-keyboard-response,27,124985,0.0-1.0-6.0-0.0-3.0-0.0,0,0,64747,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,,,,,,
28,,iti,,html-keyboard-response,28,127491,0.0-1.0-6.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,2.5,,,,,,
29,,practice_over,,html-keyboard-response,29,130826,0.0-1.0-6.0-0.0-6.0-0.0,0,0,64747,,3328.0,,,68.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,start_run,,html-keyboard-response,30,133945,0.0-1.0-6.0-0.0-6.0-1.0,0,0,64747,,3114.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,choice,,html-keyboard-response,31,134663,0.0-1.0-7.0-0.0-0.0,0,0,64747,,708.0,,,68.0,5.0,5.0,2000.0,2000.0,0.0,1.0,0.0,40-80,,1.0,desk,patio lounge chair,80.0,40.0,desk1,patio lounge chair15,100.0,40.0,ADESK11.jpg,phpThumb.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/ADESK11.jpg,/static/Category_learning/Stimuli/Experimental_stims/patio lounge chair/phpThumb.jpg,1.0,desk,patio lounge chair,80.0,40.0,desk1,patio lounge chair15,100.0,40.0,0.0,0.708,0.708,,,,,,
32,,confirmation,,html-keyboard-response,32,135464,0.0-1.0-7.0-0.0-1.0-0.0,0,0,64747,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.792,,,,,,
33,,isi,,html-keyboard-response,33,137471,0.0-1.0-7.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,,,,,
34,,feedback,,html-keyboard-response,34,138478,0.0-1.0-7.0-0.0-3.0-0.0,0,0,64747,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,,,,,
35,,iti,,html-keyboard-response,35,140491,0.0-1.0-7.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,2.0,,,,,,
36,,choice,,html-keyboard-response,36,140993,0.0-1.0-8.0-0.0-0.0,0,0,64747,,495.0,,,75.0,6.0,6.0,3000.0,1500.0,0.0,1.0,0.0,40-60,,0.0,poker card,tent,40.0,60.0,poker card12,tent9,20.0,60.0,22865676.thl.jpg,Red Canyon Tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/poker card/22865676.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/Red Canyon Tent.jpg,0.0,tent,poker card,60.0,40.0,tent9,poker card12,60.0,20.0,0.0,6.995,0.495,,,,,,
37,,confirmation,,html-keyboard-response,37,142006,0.0-1.0-8.0-0.0-1.0-0.0,0,0,64747,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.005,,,,,,
38,,isi,,html-keyboard-response,38,145012,0.0-1.0-8.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,,,,,,
39,,feedback,,html-keyboard-response,39,146022,0.0-1.0-8.0-0.0-3.0-0.0,0,0,64747,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,
40,,iti,,html-keyboard-response,40,147528,0.0-1.0-8.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.5,,,,,,
41,,choice,,html-keyboard-response,41,148606,0.0-1.0-9.0-0.0-0.0,0,0,64747,,1071.0,,,75.0,7.0,7.0,2000.0,1000.0,0.0,1.0,0.0,40-60,,0.0,pen,tent,40.0,60.0,pen6,tent6,20.0,80.0,executive_pen2.jpg,lighthouse_tent_edited_1-1.jpg,/static/Category_learning/Stimuli/Experimental_stims/pen/executive_pen2.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/lighthouse_tent_edited_1-1.jpg,0.0,tent,pen,60.0,40.0,tent6,pen6,80.0,20.0,0.0,14.571,1.071,,,,,,
42,,confirmation,,html-keyboard-response,42,149043,0.0-1.0-9.0-0.0-1.0-0.0,0,0,64747,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.429,,,,,,
43,,isi,,html-keyboard-response,43,151049,0.0-1.0-9.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,2.0,,,,,,
44,,feedback,,html-keyboard-response,44,152056,0.0-1.0-9.0-0.0-3.0-0.0,0,0,64747,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,,,,,
45,,iti,,html-keyboard-response,45,153063,0.0-1.0-9.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,,,,,,
46,,choice,,html-keyboard-response,46,153804,0.0-1.0-10.0-0.0-0.0,0,0,64747,,734.0,,,68.0,8.0,8.0,1000.0,1000.0,0.0,1.0,0.0,20-60,,1.0,tent,lipstick,60.0,20.0,tent14,lipstick5,60.0,0.0,inflatable-tent.jpg,P35719_hero.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/inflatable-tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/lipstick/P35719_hero.jpg,1.0,tent,lipstick,60.0,20.0,tent14,lipstick5,60.0,0.0,0.0,19.734,0.734,,,,,,
47,,confirmation,,html-keyboard-response,47,154578,0.0-1.0-10.0-0.0-1.0-0.0,0,0,64747,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,0.766,,,,,,
48,,isi,,html-keyboard-response,48,155584,0.0-1.0-10.0-0.0-2.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,1.0,,,,,,
49,,feedback,,html-keyboard-response,49,156594,0.0-1.0-10.0-0.0-3.0-0.0,0,0,64747,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.0,,,,,,
50,,iti,,html-keyboard-response,50,157601,0.0-1.0-10.0-0.0-5.0,0,0,64747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,1.0,,,,,,
