,event,trial,time,PID
0,blur,0,1834,46320
1,focus,0,3839,46320
2,fullscreenenter,0,11636,46320
3,fullscreenexit,1,101418,46320
4,blur,1,103141,46320
5,focus,1,104639,46320
6,blur,2,149824,46320
7,focus,2,151088,46320
8,blur,3,156910,46320
9,focus,3,158194,46320
10,blur,29,199460,46320
11,focus,29,200589,46320
12,blur,30,215903,46320
13,focus,30,216869,46320
14,blur,176,396989,46320
15,focus,177,399356,46320
16,blur,240,478216,46320
17,focus,241,479907,46320
18,blur,242,481844,46320
19,focus,243,486462,46320
20,blur,259,502338,46320
21,focus,260,503574,46320
22,blur,274,520206,46320
23,focus,275,521689,46320
24,blur,327,589202,46320
25,focus,327,591794,46320
26,blur,327,596853,46320
27,focus,327,603292,46320
28,blur,327,606953,46320
29,focus,327,610459,46320
30,blur,327,1092298,46320
31,focus,327,1134821,46320
32,blur,327,1302574,46320
33,focus,327,1312242,46320
34,blur,345,1341419,46320
35,focus,347,1342557,46320
36,blur,372,1372836,46320
37,focus,373,1374023,46320
38,blur,394,1399275,46320
39,focus,394,1400770,46320
40,blur,431,1441699,46320
41,focus,432,1442827,46320
42,blur,447,1460391,46320
43,focus,447,1461458,46320
44,blur,477,1498402,46320
45,focus,478,1499588,46320
46,blur,519,1549313,46320
47,focus,520,1550358,46320
48,blur,616,1663287,46320
49,focus,616,1664671,46320
50,blur,624,1678533,46320
51,focus,624,1681778,46320
52,blur,624,2051192,46320
53,focus,624,2794808,46320
54,blur,778,2983086,46320
55,focus,778,2984316,46320
56,blur,782,2988737,46320
57,focus,784,2993126,46320
58,blur,787,2996085,46320
59,focus,788,2997675,46320
60,blur,793,3002368,46320
61,focus,794,3003915,46320
62,blur,832,3048185,46320
63,focus,832,3049296,46320
64,blur,847,3070644,46320
65,focus,847,3072314,46320
66,blur,853,3077922,46320
67,focus,854,3079571,46320
68,blur,881,3112688,46320
69,focus,883,3117107,46320
70,blur,910,3149867,46320
71,focus,911,3151815,46320
72,blur,919,3167423,46320
73,focus,919,3210212,46320
74,blur,962,3268954,46320
75,focus,963,3270255,46320
76,blur,1001,3317112,46320
77,focus,1001,3319525,46320
78,blur,1006,3324298,46320
79,focus,1008,3326572,46320
80,blur,1033,3354570,46320
81,focus,1034,3356085,46320
82,blur,1039,3361701,46320
83,focus,1040,3365012,46320
84,blur,1045,3369875,46320
85,focus,1047,3371842,46320
86,blur,1204,3557697,46320
87,focus,1205,3559365,46320
88,blur,1217,3595387,46320
89,focus,1217,3615279,46320
90,blur,1230,3635422,46320
91,focus,1231,3637695,46320
92,blur,1245,3655164,46320
93,focus,1246,3656202,46320
94,blur,1262,3675592,46320
95,focus,1263,3676830,46320
96,blur,1313,3739054,46320
97,focus,1313,3740072,46320
98,blur,1317,3744956,46320
99,focus,1318,3746461,46320
100,blur,1357,3791423,46320
101,focus,1358,3792620,46320
102,blur,1376,3810514,46320
103,focus,1377,3812218,46320
104,blur,1405,3847604,46320
105,focus,1406,3849087,46320
106,blur,1449,3897762,46320
107,focus,1450,3899284,46320
108,blur,1510,3971974,46320
109,focus,1511,3973353,46320
110,blur,1533,4008628,46320
111,focus,1533,4009429,46320
112,blur,1578,4061815,46320
113,focus,1579,4062883,46320
114,blur,1643,4133205,46320
115,focus,1644,4134965,46320
116,blur,1655,4146712,46320
117,focus,1656,4147737,46320
118,blur,1664,4158121,46320
119,focus,1665,4158843,46320
120,blur,1668,4164668,46320
121,focus,1669,4166370,46320
122,blur,1770,4288956,46320
123,focus,1771,4290189,46320
124,blur,1804,4331712,46320
125,focus,1805,4332998,46320
126,blur,1816,4372679,46320
127,focus,1816,4383576,46320
128,blur,1819,4403560,46320
129,focus,1819,4404679,46320
130,blur,1822,4430920,46320
131,focus,1822,4431794,46320
132,blur,1825,4462628,46320
133,focus,1825,4464078,46320
134,blur,1827,4480016,46320
135,focus,1827,4481140,46320
136,blur,1829,4497750,46320
137,focus,1829,4498844,46320
138,blur,1844,4570325,46320
139,focus,1844,4570530,46320
140,blur,1844,4570533,46320
141,focus,1844,4570854,46320
142,blur,1844,4570865,46320
143,focus,1844,4571085,46320
144,blur,1844,4571147,46320
145,focus,1844,4571341,46320
146,blur,1844,4571363,46320
147,focus,1844,4571515,46320
148,blur,1844,4571532,46320
149,focus,1844,4571739,46320
150,blur,1844,4571742,46320
151,focus,1844,4571890,46320
152,blur,1844,4571902,46320
153,focus,1844,4572161,46320
154,blur,1844,4572191,46320
155,focus,1844,4572403,46320
156,blur,1844,4572410,46320
157,focus,1844,4572585,46320
158,blur,1844,4572618,46320
159,focus,1844,4572798,46320
160,blur,1844,4572816,46320
161,focus,1844,4573015,46320
162,blur,1844,4573025,46320
163,focus,1844,4573250,46320
164,blur,1844,4573270,46320
165,focus,1844,4573462,46320
166,blur,1844,4573475,46320
167,focus,1844,4573680,46320
168,blur,1844,4573688,46320
169,focus,1844,4573865,46320
170,blur,1844,4573879,46320
171,focus,1844,4574033,46320
172,blur,1844,4574088,46320
173,focus,1844,4574215,46320
174,blur,1844,4574233,46320
175,focus,1844,4575160,46320
176,blur,1844,4575163,46320
177,focus,1844,4608219,46320
178,blur,1844,4612524,46320
179,focus,1844,4625058,46320
180,blur,1846,4637734,46320
181,focus,1846,4651322,46320
