,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06032022hr1717,fullscreen,0,3867,0.0-0.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,33166,0.0-1.0-0.0-0.0,0,0,23720,"[{""page_index"":0,""viewing_time"":4267},{""page_index"":1,""viewing_time"":8303},{""page_index"":2,""viewing_time"":11132},{""page_index"":3,""viewing_time"":1942},{""page_index"":4,""viewing_time"":1561},{""page_index"":5,""viewing_time"":2093}]",29298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,39106,0.0-1.0-0.0-1.0,0,0,23720,,5938.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,40282,0.0-1.0-1.0,0,0,23720,,1174.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,41146,0.0-1.0-2.0,0,0,23720,,864.0,,,68.0,0.0,0.0,1.0,hard,1000.0,2000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,40.0,60.0,20.0,60.0,C,D,0.864,0.864,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,41785,0.0-1.0-3.0-0.0,0,0,23720,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,0.636,,
6,,isi,,html-keyboard-response,6,43787,0.0-1.0-5.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,feedback,,html-keyboard-response,7,44789,0.0-1.0-6.0-0.0,0,0,23720,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
8,,iti,,html-keyboard-response,8,45790,0.0-1.0-7.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,1.0,,
9,,rl_choice,,html-keyboard-response,9,46363,0.0-1.0-9.0,0,0,23720,,572.0,,,75.0,1.0,1.0,1.0,easy,1000.0,3000.0,1.0,80.0,20.0,100.0,40.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,0.0,20.0,80.0,40.0,100.0,A,B,6.072,0.572,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,47293,0.0-1.0-10.0-0.0,0,0,23720,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,7.0,0.928,,
11,,isi,,html-keyboard-response,11,50294,0.0-1.0-12.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,,
12,,feedback,,html-keyboard-response,12,51296,0.0-1.0-13.0-0.0,0,0,23720,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,
13,,iti,,html-keyboard-response,13,52297,0.0-1.0-14.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,
14,,rl_choice,,html-keyboard-response,14,52823,0.0-1.0-16.0,0,0,23720,,524.0,,,75.0,2.0,2.0,1.0,hard,3000.0,1000.0,0.0,40.0,60.0,20.0,80.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,0.0,60.0,40.0,80.0,20.0,D,C,12.524,0.524,0.0,
15,,rl_choice_confirmation,,html-keyboard-response,15,53800,0.0-1.0-17.0-0.0,0,0,23720,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,13.5,0.976,,
16,,isi,,html-keyboard-response,16,54802,0.0-1.0-19.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.0,,
17,,feedback,,html-keyboard-response,17,55803,0.0-1.0-20.0-0.0,0,0,23720,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,15.5,1.0,,
18,,iti,,html-keyboard-response,18,58804,0.0-1.0-21.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,3.0,,
19,,rl_choice,,html-keyboard-response,19,59097,0.0-1.0-23.0,0,0,23720,,292.0,,,75.0,3.0,3.0,1.0,hard,1000.0,3500.0,0.0,40.0,60.0,60.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,0.0,60.0,40.0,60.0,60.0,D,C,18.792,0.292,0.0,
20,,rl_choice_confirmation,,html-keyboard-response,20,60307,0.0-1.0-24.0-0.0,0,0,23720,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,20.0,1.208,,
21,,isi,,html-keyboard-response,21,63809,0.0-1.0-26.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,3.5,,
22,,feedback,,html-keyboard-response,22,64810,0.0-1.0-27.0-0.0,0,0,23720,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,24.5,1.0,,
23,,iti,,html-keyboard-response,23,65812,0.0-1.0-28.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,1.0,,
24,,rl_choice,,html-keyboard-response,24,66132,0.0-1.0-30.0,0,0,23720,,319.0,,,75.0,4.0,4.0,1.0,hard,1500.0,3000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,0.0,60.0,40.0,60.0,20.0,D,C,25.819,0.319,0.0,
