,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,onset,duration,no_response,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,total_bonus_tally
0,True,full_screen,d06072022hr1812,fullscreen,0,6751,0.0-0.0,0,0,46320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,48308,0.0-1.0-0.0-0.0,0,0,46320,"[{""page_index"":0,""viewing_time"":4024},{""page_index"":1,""viewing_time"":22110},{""page_index"":2,""viewing_time"":9011},{""page_index"":3,""viewing_time"":1918},{""page_index"":4,""viewing_time"":2501},{""page_index"":5,""viewing_time"":1989}]",41554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,57338,0.0-1.0-0.0-1.0,0,0,46320,,9023.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,60653,0.0-1.0-1.0,0,0,46320,,3310.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,62158,0.0-1.0-2.0,0,0,46320,,,,,,0.0,0.0,1.0,hard,1000.0,2000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.5,1.5,1.0,,,,,,,,
5,,rl_choice_warning,,html-keyboard-response,5,63163,0.0-1.0-4.0-0.0,0,0,46320,,,,,,0.0,,1.0,,,,,,,,,,,,,2.5,1.0,,,,,,,,,
6,,isi,,html-keyboard-response,6,65182,0.0-1.0-5.0,0,0,46320,,,,,,0.0,,1.0,,,,,,,,,,,,,4.5,2.0,,,,,,,,,
7,,iti,,html-keyboard-response,7,66193,0.0-1.0-7.0,0,0,46320,,,,,,0.0,,1.0,,,,,,,,,,,,,5.5,1.0,,,,,,,,,
8,,rl_choice,,html-keyboard-response,8,66808,0.0-1.0-9.0,0,0,46320,,612.0,,,68.0,1.0,1.0,1.0,easy,1000.0,3000.0,1.0,80.0,20.0,100.0,40.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,6.112,0.612,0.0,1.0,80.0,20.0,100.0,40.0,B,A,
9,,rl_choice_confirmation,,html-keyboard-response,9,67700,0.0-1.0-10.0-0.0,0,0,46320,,,,,,1.0,,1.0,,,,,,,,,,,,,7.0,0.888,,,,,,,,,
