,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06032022hr1710,fullscreen,0,4374,0.0-0.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,68396,0.0-1.0-0.0-0.0,0,0,23720,"[{""page_index"":0,""viewing_time"":2921},{""page_index"":1,""viewing_time"":14184},{""page_index"":2,""viewing_time"":4522},{""page_index"":3,""viewing_time"":2963},{""page_index"":4,""viewing_time"":2264},{""page_index"":5,""viewing_time"":37168}]",64022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,79608,0.0-1.0-0.0-1.0,0,0,23720,,11210.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,81796,0.0-1.0-1.0,0,0,23720,,2186.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,82969,0.0-1.0-2.0,0,0,23720,,1172.0,,,75.0,0.0,0.0,1.0,2000.0,L-L,,L,L,3.0,3.0,deskchair,mailbox,deskchair10,mailbox3,19.0,42.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox1.jpg,0.0,mailbox,deskchair,L,L,3.0,3.0,mailbox3,deskchair10,,1.172,1.172,0.0,
5,,size_choice_confirmation,,html-keyboard-response,5,83299,0.0-1.0-3.0-0.0,0,0,23720,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.328,,
6,,iti,,html-keyboard-response,6,85302,0.0-1.0-4.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,size_choice,,html-keyboard-response,7,86021,0.0-1.0-6.0,0,0,23720,,718.0,,,68.0,1.0,1.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,dumptruck,teabag,dumptruck9,teabag3,178.0,132.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag1.jpg,1.0,dumptruck,teabag,XL,S,4.0,1.0,dumptruck9,teabag3,1.0,4.218,0.718,0.0,
8,,size_choice_confirmation,,html-keyboard-response,8,86805,0.0-1.0-7.0-0.0,0,0,23720,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.782,,
9,,iti,,html-keyboard-response,9,87806,0.0-1.0-8.0,0,0,23720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,
