,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response
0,True,full_screen,d06062022hr2145,fullscreen,0,3901,0.0-0.0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,5797,0.0-1.0-0.0-0.0,0,0,12,"[{""page_index"":0,""viewing_time"":1079},{""page_index"":1,""viewing_time"":211},{""page_index"":2,""viewing_time"":158},{""page_index"":3,""viewing_time"":163},{""page_index"":4,""viewing_time"":147},{""page_index"":5,""viewing_time"":136}]",1894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,10079,0.0-1.0-0.0-1.0,0,0,12,,4279.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,10989,0.0-1.0-1.0,0,0,12,,907.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,11466,0.0-1.0-2.0,0,0,12,,475.0,,,51.0,0.0,0.0,1.0,hard,1000.0,2000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,0.0,60.0,40.0,60.0,20.0,D,C,0.475,0.475,0.0
5,,rl_choice_confirmation,,html-keyboard-response,5,12494,0.0-1.0-3.0-0.0,0,0,12,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,1.5,1.025,
6,,isi,,html-keyboard-response,6,14496,0.0-1.0-5.0,0,0,12,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,3.5,2.0,
7,,feedback,,html-keyboard-response,7,15503,0.0-1.0-6.0-0.0,0,0,12,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,4.5,1.0,
8,,iti,,html-keyboard-response,8,16506,0.0-1.0-7.0,0,0,12,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,5.5,1.0,
9,,rl_choice,,html-keyboard-response,9,18011,0.0-1.0-9.0,0,0,12,,,,,,1.0,1.0,1.0,easy,1000.0,3000.0,1.0,80.0,20.0,100.0,40.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,,,,,,,,7.0,1.5,1.0
10,,rl_choice_warning,,html-keyboard-response,10,19017,0.0-1.0-11.0-0.0,0,0,12,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,8.0,1.0,
11,,isi,,html-keyboard-response,11,22022,0.0-1.0-12.0,0,0,12,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,11.0,3.0,
12,,iti,,html-keyboard-response,12,23027,0.0-1.0-14.0,0,0,12,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,12.0,1.0,
13,,rl_choice,,html-keyboard-response,13,23430,0.0-1.0-16.0,0,0,12,,401.0,,,51.0,2.0,2.0,1.0,hard,3000.0,1000.0,0.0,40.0,60.0,20.0,80.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,0.0,60.0,40.0,80.0,20.0,D,C,12.401,0.401,0.0
14,,rl_choice_confirmation,,html-keyboard-response,14,24534,0.0-1.0-17.0-0.0,0,0,12,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,13.5,1.099,
15,,isi,,html-keyboard-response,15,25539,0.0-1.0-19.0,0,0,12,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,14.5,1.0,
16,,feedback,,html-keyboard-response,16,26545,0.0-1.0-20.0-0.0,0,0,12,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,15.5,1.0,
17,,iti,,html-keyboard-response,17,29550,0.0-1.0-21.0,0,0,12,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,18.5,3.0,
18,,rl_choice,,html-keyboard-response,18,29883,0.0-1.0-23.0,0,0,12,,331.0,,,50.0,3.0,3.0,1.0,hard,1000.0,3500.0,0.0,40.0,60.0,60.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,40.0,60.0,60.0,60.0,C,D,18.831,0.331,0.0
19,,rl_choice_confirmation,,html-keyboard-response,19,31058,0.0-1.0-24.0-0.0,0,0,12,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,20.0,1.169,
