,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06032022hr1607,fullscreen,0,3423,0.0-0.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,85360,0.0-1.0-0.0-0.0,0,0,61002,"[{""page_index"":0,""viewing_time"":4097},{""page_index"":1,""viewing_time"":22048},{""page_index"":2,""viewing_time"":21312},{""page_index"":3,""viewing_time"":9078},{""page_index"":2,""viewing_time"":19226},{""page_index"":3,""viewing_time"":1638},{""page_index"":4,""viewing_time"":2940},{""page_index"":5,""viewing_time"":1596}]",81936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,94924,0.0-1.0-0.0-1.0,0,0,61002,,9560.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,100516,0.0-1.0-1.0,0,0,61002,,5589.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,101490,0.0-1.0-2.0,0,0,61002,,971.0,,,75.0,0.0,0.0,1.0,hard,1500.0,2000.0,1.0,60.0,40.0,80.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,0.0,40.0,60.0,20.0,80.0,A,B,0.971,0.971,0.0,
5,,rl_choice_confirmation,,html-keyboard-response,5,102023,0.0-1.0-3.0-0.0,0,0,61002,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.5,0.529,,
6,,isi,,html-keyboard-response,6,104025,0.0-1.0-5.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,
7,,feedback,,html-keyboard-response,7,105027,0.0-1.0-6.0-0.0,0,0,61002,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
8,,iti,,html-keyboard-response,8,106529,0.0-1.0-7.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.5,,
9,,rl_choice,,html-keyboard-response,9,107532,0.0-1.0-9.0,0,0,61002,,1000.0,,,75.0,1.0,1.0,1.0,easy,1500.0,3000.0,1.0,80.0,20.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,0.0,20.0,80.0,40.0,60.0,C,D,7.0,1.0,0.0,
10,,rl_choice_confirmation,,html-keyboard-response,10,108034,0.0-1.0-10.0-0.0,0,0,61002,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,7.5,0.5,,
11,,isi,,html-keyboard-response,11,111036,0.0-1.0-12.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,3.0,,
12,,feedback,,html-keyboard-response,12,112038,0.0-1.0-13.0-0.0,0,0,61002,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,11.5,1.0,,
13,,iti,,html-keyboard-response,13,113541,0.0-1.0-14.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.5,,
14,,rl_choice,,html-keyboard-response,14,114226,0.0-1.0-16.0,0,0,61002,,684.0,,,68.0,2.0,2.0,1.0,hard,2000.0,3000.0,0.0,40.0,60.0,40.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,1.0,40.0,60.0,40.0,40.0,A,B,13.684,0.684,0.0,
15,,rl_choice_confirmation,,html-keyboard-response,15,115050,0.0-1.0-17.0-0.0,0,0,61002,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,14.5,0.816,,
16,,isi,,html-keyboard-response,16,118060,0.0-1.0-19.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,3.0,,
17,,feedback,,html-keyboard-response,17,119075,0.0-1.0-20.0-0.0,0,0,61002,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,18.5,1.0,,
18,,iti,,html-keyboard-response,18,121077,0.0-1.0-21.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2.0,,
19,,rl_choice,,html-keyboard-response,19,121755,0.0-1.0-23.0,0,0,61002,,675.0,,,75.0,3.0,3.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,40.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,60.0,40.0,40.0,40.0,B,A,21.175,0.675,0.0,
20,,rl_choice_confirmation,,html-keyboard-response,20,122583,0.0-1.0-24.0-0.0,0,0,61002,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,22.0,0.825,,
21,,isi,,html-keyboard-response,21,123585,0.0-1.0-26.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,
22,,feedback,,html-keyboard-response,22,124588,0.0-1.0-27.0-0.0,0,0,61002,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,,
23,,iti,,html-keyboard-response,23,125590,0.0-1.0-28.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,,
24,,rl_choice,,html-keyboard-response,24,126482,0.0-1.0-30.0,0,0,61002,,890.0,,,68.0,4.0,4.0,1.0,hard,3500.0,3500.0,1.0,60.0,40.0,60.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,60.0,40.0,60.0,20.0,B,A,25.89,0.89,0.0,
25,,rl_choice_confirmation,,html-keyboard-response,25,127095,0.0-1.0-31.0-0.0,0,0,61002,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,26.5,0.61,,
26,,isi,,html-keyboard-response,26,130598,0.0-1.0-33.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.5,,
27,,feedback,,html-keyboard-response,27,131601,0.0-1.0-34.0-0.0,0,0,61002,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,31.0,1.0,,
28,,iti,,html-keyboard-response,28,135102,0.0-1.0-35.0,0,0,61002,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,3.5,,
29,,rl_choice,,html-keyboard-response,29,136034,0.0-1.0-37.0,0,0,61002,,929.0,,,75.0,5.0,5.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,20.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,0.0,60.0,40.0,60.0,20.0,B,A,35.429,0.929,0.0,
30,,rl_choice_confirmation,,html-keyboard-response,30,136608,0.0-1.0-38.0-0.0,0,0,61002,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,36.0,0.571,,
