,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,onset,duration,no_response,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,total_bonus_tally
0,True,full_screen,d06032022hr1457,fullscreen,0,4728,0.0-0.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,11721,0.0-1.0-0.0-0.0,0,0,83590,"[{""page_index"":0,""viewing_time"":1447},{""page_index"":1,""viewing_time"":1693},{""page_index"":2,""viewing_time"":1310},{""page_index"":3,""viewing_time"":852},{""page_index"":4,""viewing_time"":720},{""page_index"":5,""viewing_time"":968}]",6991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,15330,0.0-1.0-0.0-1.0,0,0,83590,,3605.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,16581,0.0-1.0-1.0,0,0,83590,,1249.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,18088,0.0-1.0-2.0,0,0,83590,,,,,,0.0,0.0,1.0,hard,1500.0,2000.0,1.0,60.0,40.0,80.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.5,1.5,1.0,,,,,,,,
5,,rl_choice_warning,,html-keyboard-response,5,19090,0.0-1.0-4.0-0.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,,,,,,,,
6,,isi,,html-keyboard-response,6,21093,0.0-1.0-5.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,4.5,2.0,,,,,,,,,
7,,iti,,html-keyboard-response,7,22596,0.0-1.0-7.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,6.0,1.5,,,,,,,,,
8,,rl_choice,,html-keyboard-response,8,23022,0.0-1.0-9.0,0,0,83590,,425.0,,,68.0,1.0,1.0,1.0,easy,1500.0,3000.0,1.0,80.0,20.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,6.425,0.425,0.0,1.0,80.0,20.0,60.0,40.0,D,C,
9,,rl_choice_confirmation,,html-keyboard-response,9,24101,0.0-1.0-10.0-0.0,0,0,83590,,,,,,1.0,,,,,,,,,,,,,,,7.5,1.075,,,,,,,,,
10,,isi,,html-keyboard-response,10,27106,0.0-1.0-12.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,10.5,3.0,,,,,,,,,
11,,feedback,,html-keyboard-response,11,28110,0.0-1.0-13.0-0.0,0,0,83590,,,,,,1.0,,,,,,,,,,,,,,,11.5,1.0,,,,,,,,,
12,,iti,,html-keyboard-response,12,29613,0.0-1.0-14.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,13.0,1.5,,,,,,,,,
13,,rl_choice,,html-keyboard-response,13,29909,0.0-1.0-16.0,0,0,83590,,295.0,,,68.0,2.0,2.0,1.0,hard,2000.0,3000.0,0.0,40.0,60.0,40.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,13.295,0.295,0.0,1.0,40.0,60.0,40.0,40.0,A,B,
14,,rl_choice_confirmation,,html-keyboard-response,14,31120,0.0-1.0-17.0-0.0,0,0,83590,,,,,,2.0,,,,,,,,,,,,,,,14.5,1.205,,,,,,,,,
15,,isi,,html-keyboard-response,15,34127,0.0-1.0-19.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,17.5,3.0,,,,,,,,,
16,,feedback,,html-keyboard-response,16,35131,0.0-1.0-20.0-0.0,0,0,83590,,,,,,2.0,,,,,,,,,,,,,,,18.5,1.0,,,,,,,,,
17,,iti,,html-keyboard-response,17,37134,0.0-1.0-21.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,20.5,2.0,,,,,,,,,
18,,rl_choice,,html-keyboard-response,18,37273,0.0-1.0-23.0,0,0,83590,,138.0,,,68.0,3.0,3.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,40.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,20.638,0.138,0.0,1.0,40.0,60.0,40.0,40.0,A,B,
19,,rl_choice_confirmation,,html-keyboard-response,19,38641,0.0-1.0-24.0-0.0,0,0,83590,,,,,,3.0,,,,,,,,,,,,,,,22.0,1.362,,,,,,,,,
20,,isi,,html-keyboard-response,20,39646,0.0-1.0-26.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,,,,,,,
21,,feedback,,html-keyboard-response,21,40649,0.0-1.0-27.0-0.0,0,0,83590,,,,,,3.0,,,,,,,,,,,,,,,24.0,1.0,,,,,,,,,
22,,iti,,html-keyboard-response,22,41651,0.0-1.0-28.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,,,,,
23,,rl_choice,,html-keyboard-response,23,41746,0.0-1.0-30.0,0,0,83590,,94.0,,,68.0,4.0,4.0,1.0,hard,3500.0,3500.0,1.0,60.0,40.0,60.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,25.094,0.094,0.0,1.0,60.0,40.0,60.0,20.0,B,A,
24,,rl_choice_confirmation,,html-keyboard-response,24,43157,0.0-1.0-31.0-0.0,0,0,83590,,,,,,4.0,,,,,,,,,,,,,,,26.5,1.406,,,,,,,,,
25,,isi,,html-keyboard-response,25,46661,0.0-1.0-33.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,30.0,3.5,,,,,,,,,
26,,feedback,,html-keyboard-response,26,47668,0.0-1.0-34.0-0.0,0,0,83590,,,,,,4.0,,,,,,,,,,,,,,,31.0,1.0,,,,,,,,,
27,,iti,,html-keyboard-response,27,51174,0.0-1.0-35.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,34.5,3.5,,,,,,,,,
28,,rl_choice,,html-keyboard-response,28,51866,0.0-1.0-37.0,0,0,83590,,690.0,,,68.0,5.0,5.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,20.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,35.19,0.69,0.0,1.0,40.0,60.0,20.0,60.0,A,B,
29,,rl_choice_confirmation,,html-keyboard-response,29,52681,0.0-1.0-38.0-0.0,0,0,83590,,,,,,5.0,,,,,,,,,,,,,,,36.0,0.81,,,,,,,,,
30,,isi,,html-keyboard-response,30,53682,0.0-1.0-40.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,37.0,1.0,,,,,,,,,
31,,feedback,,html-keyboard-response,31,54686,0.0-1.0-41.0-0.0,0,0,83590,,,,,,5.0,,,,,,,,,,,,,,,38.0,1.0,,,,,,,,,
32,,iti,,html-keyboard-response,32,56190,0.0-1.0-42.0,0,0,83590,,,,,,,,,,,,,,,,,,,,,39.5,1.5,,,,,,,,,
