,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,no_response,onset,duration,no_resposne,total_bonus_tally
0,True,full_screen,d05272022hr1650,fullscreen,0,2440,0.0-0.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,52982,0.0-1.0-0.0-0.0,0,0,95248,"[{""page_index"":0,""viewing_time"":4190},{""page_index"":1,""viewing_time"":9243},{""page_index"":2,""viewing_time"":11681},{""page_index"":3,""viewing_time"":21129},{""page_index"":4,""viewing_time"":2473},{""page_index"":5,""viewing_time"":1824}]",50541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,61363,0.0-1.0-0.0-1.0,0,0,95248,,8379.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,62562,0.0-1.0-1.0,0,0,95248,,1197.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,rl_choice,,html-keyboard-response,4,63271,0.0-1.0-2.0,0,0,95248,,708.0,,,68.0,0.0,0.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,20.0,60.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,1.0,40.0,60.0,20.0,60.0,D,C,0.0,0.708,0.708,,
5,,rl_choice_confirmation,,html-keyboard-response,5,64069,0.0-1.0-3.0-0.0,0,0,95248,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.5,0.792,,
6,,isi,,html-keyboard-response,6,65072,0.0-1.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,
7,,feedback,,html-keyboard-response,7,66077,0.0-1.0-6.0-0.0,0,0,95248,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,3.5,1.0,,
8,,iti,,html-keyboard-response,8,67579,0.0-1.0-7.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.5,,
9,,rl_choice,,html-keyboard-response,9,68072,0.0-1.0-9.0,0,0,95248,,490.0,,,75.0,1.0,1.0,1.0,easy,1500.0,3500.0,0.0,20.0,80.0,20.0,100.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,0.0,80.0,20.0,100.0,20.0,A,B,0.0,5.49,0.49,,
