,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,accuracy,no_resposne,onset,duration,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,no_response,size_final_tally
0,True,full_screen,d05272022hr1611,fullscreen,0,57109,0.0-0.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,62027,0.0-1.0-0.0-0.0,0,0,1,"[{""page_index"":0,""viewing_time"":2149},{""page_index"":1,""viewing_time"":254},{""page_index"":2,""viewing_time"":218},{""page_index"":3,""viewing_time"":261},{""page_index"":4,""viewing_time"":662},{""page_index"":5,""viewing_time"":1372}]",4916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,68820,0.0-1.0-0.0-1.0,0,0,1,,6788.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,70619,0.0-1.0-1.0,0,0,1,,1796.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,72125,0.0-1.0-2.0,0,0,1,,,,,,0.0,0.0,1.0,1500.0,S-M,1.0,M,S,2.0,1.0,hairdryer,paperclip,hairdryer8,paperclip1,77.0,110.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer1.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip9.jpg,,1.0,1.5,1.5,,,,,,,,,,,
5,,iti,,html-keyboard-response,5,72631,0.0-1.0-4.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,,,,,,,,,,,
6,,size_choice,,html-keyboard-response,6,73186,0.0-1.0-6.0,0,0,1,,554.0,,,68.0,1.0,1.0,1.0,1000.0,S-XL,0.0,S,XL,1.0,4.0,die,van,die5,van5,104.0,194.0,/static/Size_judgement/Stimuli/Size_stims/S/die/die3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/van/van3.jpg,0.0,,2.5540000000000003,0.554,1.0,die,van,S,XL,1.0,4.0,die5,van5,0.0,
7,,size_choice_confirmation,,html-keyboard-response,7,74134,0.0-1.0-7.0-0.0,0,0,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.5,0.946,,,,,,,,,,,
8,,iti,,html-keyboard-response,8,75135,0.0-1.0-8.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,1.0,,,,,,,,,,,
9,,size_choice,,html-keyboard-response,9,76012,0.0-1.0-10.0,0,0,1,,875.0,,,68.0,2.0,2.0,1.0,1000.0,S-L,1.0,L,S,3.0,1.0,dishwasher,thread,dishwasher8,thread1,27.0,140.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread7.jpg,1.0,,5.375,0.875,1.0,dishwasher,thread,L,S,3.0,1.0,dishwasher8,thread1,0.0,
