,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,no_response,onset,duration,no_resposne,size_final_tally
0,True,full_screen,d05202022hr1746,fullscreen,0,2409,0.0-0.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,4541,0.0-1.0-0.0-0.0,0,0,18270,"[{""page_index"":0,""viewing_time"":1314},{""page_index"":1,""viewing_time"":183},{""page_index"":2,""viewing_time"":183},{""page_index"":3,""viewing_time"":167},{""page_index"":4,""viewing_time"":150},{""page_index"":5,""viewing_time"":133}]",2131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,10658,0.0-1.0-0.0-1.0,0,0,18270,,6114.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,11473,0.0-1.0-1.0,0,0,18270,,813.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,12466,0.0-1.0-2.0,0,0,18270,,991.0,,,68.0,0.0,0.0,1.0,1000.0,L-L,,L,L,3.0,3.0,dishwasher,garbagecan,dishwasher9,garbagecan9,28.0,38.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,1.0,dishwasher,garbagecan,L,L,3.0,3.0,dishwasher9,garbagecan9,,0.0,0.991,0.991,,
5,,size_choice_confirmation,,html-keyboard-response,5,12977,0.0-1.0-3.0-0.0,0,0,18270,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.509,,
6,,iti,,html-keyboard-response,6,13083,0.0-1.0-4.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,
7,,size_choice,,html-keyboard-response,7,13424,0.0-1.0-6.0,0,0,18270,,340.0,,,75.0,1.0,1.0,1.0,1000.0,M-M,,M,M,2.0,2.0,handsaw,hairdryer,handsaw1,hairdryer2,80.0,71.0,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw8.jpg,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer12.jpg,0.0,hairdryer,handsaw,M,M,2.0,2.0,hairdryer2,handsaw1,,0.0,2.84,0.34,,
8,,size_choice_confirmation,,html-keyboard-response,8,14590,0.0-1.0-7.0-0.0,0,0,18270,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.16,,
9,,iti,,html-keyboard-response,9,14696,0.0-1.0-8.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,
10,,size_choice,,html-keyboard-response,10,15345,0.0-1.0-10.0,0,0,18270,,649.0,,,75.0,2.0,2.0,1.0,1500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,dumptruck,teabag7,dumptruck8,136.0,177.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag10.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck7.jpg,0.0,dumptruck,teabag,XL,S,4.0,1.0,dumptruck8,teabag7,1.0,0.0,5.649,0.649,,
11,,size_choice_confirmation,,html-keyboard-response,11,16201,0.0-1.0-11.0-0.0,0,0,18270,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.851,,
12,,iti,,html-keyboard-response,12,16306,0.0-1.0-12.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.5,,
13,,size_choice,,html-keyboard-response,13,16893,0.0-1.0-14.0,0,0,18270,,585.0,,,68.0,3.0,3.0,1.0,2000.0,S-M,1.0,M,S,2.0,1.0,hairdryer,screws,hairdryer5,screws5,74.0,124.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer15.jpg,/static/Size_judgement/Stimuli/Size_stims/S/screws/screws2.jpg,1.0,hairdryer,screws,M,S,2.0,1.0,hairdryer5,screws5,1.0,0.0,8.585,0.585,,
14,,size_choice_confirmation,,html-keyboard-response,14,17811,0.0-1.0-15.0-0.0,0,0,18270,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,0.915,,
15,,iti,,html-keyboard-response,15,17914,0.0-1.0-16.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,2.0,,
16,,size_choice,,html-keyboard-response,16,18438,0.0-1.0-18.0,0,0,18270,,523.0,,,75.0,4.0,4.0,1.0,3500.0,S-XL,0.0,S,XL,1.0,4.0,teabag,car,teabag4,car9,133.0,158.0,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/car/car15.jpg,0.0,car,teabag,XL,S,4.0,1.0,car9,teabag4,1.0,0.0,12.023,0.523,,
17,,size_choice_confirmation,,html-keyboard-response,17,19421,0.0-1.0-19.0-0.0,0,0,18270,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.977,,
18,,iti,,html-keyboard-response,18,19525,0.0-1.0-20.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,3.5,,
19,,size_choice,,html-keyboard-response,19,19951,0.0-1.0-22.0,0,0,18270,,425.0,,,68.0,5.0,5.0,1.0,1500.0,M-L,1.0,L,M,3.0,2.0,cooler,handsaw,cooler10,handsaw7,9.0,86.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler6.jpg,/static/Size_judgement/Stimuli/Size_stims/M/handsaw/handsaw5.jpg,1.0,cooler,handsaw,L,M,3.0,2.0,cooler10,handsaw7,1.0,0.0,16.925,0.425,,
20,,size_choice_confirmation,,html-keyboard-response,20,21028,0.0-1.0-23.0-0.0,0,0,18270,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.075,,
21,,iti,,html-keyboard-response,21,21129,0.0-1.0-24.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,1.5,,
22,,size_choice,,html-keyboard-response,22,21684,0.0-1.0-26.0,0,0,18270,,554.0,,,75.0,6.0,6.0,1.0,2000.0,M-XL,0.0,M,XL,2.0,4.0,basketball,crane,basketball10,crane9,59.0,168.0,/static/Size_judgement/Stimuli/Size_stims/M/basketball/basketball4.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane8.jpg,0.0,crane,basketball,XL,M,4.0,2.0,crane9,basketball10,1.0,0.0,20.054000000000002,0.5539999999999999,,
23,,size_choice_confirmation,,html-keyboard-response,23,22635,0.0-1.0-27.0-0.0,0,0,18270,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.946,,
24,,iti,,html-keyboard-response,24,22739,0.0-1.0-28.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,,
25,,size_choice,,html-keyboard-response,25,23354,0.0-1.0-30.0,0,0,18270,,614.0,,,75.0,7.0,7.0,1.0,3000.0,M-XL,0.0,M,XL,2.0,4.0,hairdryer,dumptruck,hairdryer7,dumptruck6,76.0,175.0,/static/Size_judgement/Stimuli/Size_stims/M/hairdryer/hairdryer3.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck2.jpg,0.0,dumptruck,hairdryer,XL,M,4.0,2.0,dumptruck6,hairdryer7,1.0,0.0,23.614,0.614,,
26,,size_choice_confirmation,,html-keyboard-response,26,24245,0.0-1.0-31.0-0.0,0,0,18270,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,0.8859999999999999,,
27,,iti,,html-keyboard-response,27,24346,0.0-1.0-32.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,3.0,,
28,,size_choice,,html-keyboard-response,28,25410,0.0-1.0-34.0,0,0,18270,,1063.0,,,75.0,8.0,8.0,1.0,2000.0,XL-XL,,XL,XL,4.0,4.0,van,crane,van2,crane8,191.0,167.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van4.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/crane/crane10.jpg,0.0,crane,van,XL,XL,4.0,4.0,crane8,van2,,0.0,28.563000000000002,1.063,,
29,,size_choice_confirmation,,html-keyboard-response,29,25852,0.0-1.0-35.0-0.0,0,0,18270,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.43700000000000006,,
30,,iti,,html-keyboard-response,30,25953,0.0-1.0-36.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,2.0,,
31,,size_choice,,html-keyboard-response,31,26681,0.0-1.0-38.0,0,0,18270,,727.0,,,68.0,9.0,9.0,1.0,2000.0,L-L,,L,L,3.0,3.0,dishwasher,cooler,dishwasher7,cooler8,26.0,7.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher7.jpg,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler5.jpg,1.0,dishwasher,cooler,L,L,3.0,3.0,dishwasher7,cooler8,,0.0,31.726999999999997,0.727,,
32,,size_choice_confirmation,,html-keyboard-response,32,27460,0.0-1.0-39.0-0.0,0,0,18270,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,0.773,,
33,,iti,,html-keyboard-response,33,27562,0.0-1.0-40.0,0,0,18270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,2.0,,
