,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
0,True,full_screen,d06102022hr2009,fullscreen,0,3482,0.0-0.0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,66697,0.0-1.0-0.0-0.0,0,0,10,"[{""page_index"":0,""viewing_time"":5303},{""page_index"":1,""viewing_time"":10740},{""page_index"":2,""viewing_time"":9710},{""page_index"":3,""viewing_time"":11508},{""page_index"":4,""viewing_time"":12308},{""page_index"":5,""viewing_time"":8180},{""page_index"":6,""viewing_time"":5462}]",63212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,81872,0.0-1.0-0.0-1.0,0,0,10,,15169.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,88115,0.0-1.0-1.0,0,0,10,,6235.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,88784,0.0-1.0-2.0-0.0-0.0,0,0,10,,663.0,,,50.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,0.0,0.0,0.663,,,,,,
5,,confirmation,,html-keyboard-response,5,89629,0.0-1.0-2.0-0.0-1.0-0.0,0,0,10,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663,0.837,,,,,,
6,,isi,,html-keyboard-response,6,91134,0.0-1.0-2.0-0.0-2.0,0,0,10,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,
7,,feedback,,html-keyboard-response,7,92143,0.0-1.0-2.0-0.0-3.0-0.0,0,0,10,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,
8,,iti,,html-keyboard-response,8,93148,0.0-1.0-2.0-0.0-5.0,0,0,10,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,
9,,choice,,html-keyboard-response,9,93521,0.0-1.0-3.0-0.0-0.0,0,0,10,,368.0,,,51.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,0.0,bagel,calculator,20.0,40.0,bagel2,calculator2,20.0,20.0,0.0,5.0,0.368,,,,,,
10,,confirmation,,html-keyboard-response,10,94661,0.0-1.0-3.0-0.0-1.0-0.0,0,0,10,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.368,1.132,,,,,,
11,,isi,,html-keyboard-response,11,97668,0.0-1.0-3.0-0.0-2.0,0,0,10,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,3.0,,,,,,
12,,feedback,,html-keyboard-response,12,98677,0.0-1.0-3.0-0.0-3.0-0.0,0,0,10,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,1.0,,,,,,
13,,iti,,html-keyboard-response,13,100181,0.0-1.0-3.0-0.0-5.0,0,0,10,,,,,,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,1.5,,,,,,
14,,choice,,html-keyboard-response,14,100597,0.0-1.0-4.0-0.0-0.0,0,0,10,,413.0,,,51.0,2.0,2.0,2000.0,3000.0,1.0,0.0,0.0,60-80,,0.0,clock,dumbbell,60.0,80.0,clock2,dumbbell2,60.0,100.0,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/26373355.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg,0.0,dumbbell,clock,80.0,60.0,dumbbell2,clock2,100.0,60.0,0.0,12.0,0.413,,,,,,
15,,confirmation,,html-keyboard-response,15,101690,0.0-1.0-4.0-0.0-1.0-0.0,0,0,10,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.413,1.087,,,,,,
16,,isi,,html-keyboard-response,16,103695,0.0-1.0-4.0-0.0-2.0,0,0,10,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,2.0,,,,,,
17,,feedback,,html-keyboard-response,17,104703,0.0-1.0-4.0-0.0-3.0-0.0,0,0,10,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,1.0,,,,,,
18,,iti,,html-keyboard-response,18,107711,0.0-1.0-4.0-0.0-5.0,0,0,10,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,3.0,,,,,,
19,,choice,,html-keyboard-response,19,108247,0.0-1.0-5.0-0.0-0.0,0,0,10,,531.0,,,50.0,3.0,3.0,1000.0,2000.0,1.0,0.0,0.0,40-80,,0.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,22829184.thl.jpg,Aalarmclock2.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829184.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/clock/Aalarmclock2.jpg,1.0,calculator,clock,40.0,60.0,calculator1,clock1,40.0,40.0,0.0,19.5,0.531,,,,,,
20,,confirmation,,html-keyboard-response,20,109221,0.0-1.0-5.0-0.0-1.0-0.0,0,0,10,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.031,0.969,,,,,,
21,,isi,,html-keyboard-response,21,110228,0.0-1.0-5.0-0.0-2.0,0,0,10,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,,,,,,
22,,feedback,,html-keyboard-response,22,111237,0.0-1.0-5.0-0.0-3.0-0.0,0,0,10,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,,
23,,iti,,html-keyboard-response,23,113242,0.0-1.0-5.0-0.0-5.0,0,0,10,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,,,,,,
24,,choice,,html-keyboard-response,24,113571,0.0-1.0-6.0-0.0-0.0,0,0,10,,324.0,,,51.0,4.0,4.0,2500.0,2500.0,1.0,0.0,0.0,20-60,,1.0,dumbbell,bagel,80.0,20.0,dumbbell3,bagel3,100.0,40.0,41K7QVRX50L._SS500_.jpg,photo-169.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/41K7QVRX50L._SS500_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/photo-169.jpg,0.0,bagel,dumbbell,20.0,80.0,bagel3,dumbbell3,40.0,100.0,0.0,25.0,0.324,1.0,,,,,
25,,confirmation,,html-keyboard-response,25,114752,0.0-1.0-6.0-0.0-1.0-0.0,0,0,10,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.324,1.176,,,,,,
26,,isi,,html-keyboard-response,26,117258,0.0-1.0-6.0-0.0-2.0,0,0,10,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,2.5,,,,,,
27,,feedback,,html-keyboard-response,27,118266,0.0-1.0-6.0-0.0-3.0-0.0,0,0,10,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,,,
28,,iti,,html-keyboard-response,28,120773,0.0-1.0-6.0-0.0-5.0,0,0,10,,,,,,4.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,2.5,,,,,,
29,,practice_over,,html-keyboard-response,29,124956,0.0-1.0-6.0-0.0-6.0-0.0,0,0,10,,4180.0,,,50.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,start_run,,html-keyboard-response,30,128831,0.0-1.0-6.0-0.0-6.0-1.0,0,0,10,,3872.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,choice,,html-keyboard-response,31,129418,0.0-1.0-7.0-0.0-0.0,0,0,10,,581.0,,,50.0,5.0,5.0,2000.0,3500.0,0.0,1.0,0.0,20-60,,0.0,necklace,bench,20.0,60.0,necklace15,bench3,40.0,40.0,necklascenew04.jpg,26419540.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/necklace/necklascenew04.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/26419540.thl.jpg,1.0,necklace,bench,20.0,60.0,necklace15,bench3,40.0,40.0,0.0,0.0,0.581,,,,,,
32,,confirmation,,html-keyboard-response,32,130346,0.0-1.0-7.0-0.0-1.0-0.0,0,0,10,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581,0.919,,,,,,
33,,isi,,html-keyboard-response,33,132352,0.0-1.0-7.0-0.0-2.0,0,0,10,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.0,,,,,,
34,,feedback,,html-keyboard-response,34,133360,0.0-1.0-7.0-0.0-3.0-0.0,0,0,10,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.0,,,,,,
