,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,onset,duration,no_response,total_bonus_tally
0,True,full_screen,d06152022hr1810,fullscreen,0,2221,0.0-0.0,0,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,5783,0.0-1.0-0.0-0.0,0,0,80,"[{""page_index"":0,""viewing_time"":2406},{""page_index"":1,""viewing_time"":171},{""page_index"":2,""viewing_time"":161},{""page_index"":3,""viewing_time"":158},{""page_index"":4,""viewing_time"":184},{""page_index"":5,""viewing_time"":481}]",3562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,rl_comprehension_check,,survey-multi-choice,2,9626,0.0-1.0-0.0-1.0,0,0,80,,3839.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,17239,0.0-1.0-1.0,0,0,80,,7611.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,start_run,,html-keyboard-response,4,18850,0.0-1.0-2.0,0,0,80,,1610.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,rl_choice,,html-keyboard-response,5,19640,0.0-1.0-3.0,0,0,80,,788.0,,,50.0,0.0,0.0,1.0,hard,1000.0,2000.0,0.0,40.0,60.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,1.0,40.0,60.0,20.0,60.0,C,D,0.0,0.788,0.0,
6,,rl_choice_confirmation,,html-keyboard-response,6,20353,0.0-1.0-4.0-0.0,0,0,80,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,0.788,0.712,,
7,,isi,,html-keyboard-response,7,22359,0.0-1.0-6.0,0,0,80,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,1.5,2.0,,
8,,feedback,,html-keyboard-response,8,23366,0.0-1.0-7.0-0.0,0,0,80,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,3.5,1.0,,
9,,iti,,html-keyboard-response,9,24368,0.0-1.0-8.0,0,0,80,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,4.5,1.0,,
10,,rl_choice,,html-keyboard-response,10,24712,0.0-1.0-10.0,0,0,80,,341.0,,,50.0,1.0,1.0,1.0,easy,1000.0,3000.0,1.0,80.0,20.0,100.0,40.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,1.0,80.0,20.0,100.0,40.0,B,A,5.5,0.341,0.0,
11,,rl_choice_confirmation,,html-keyboard-response,11,25872,0.0-1.0-11.0-0.0,0,0,80,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,5.841,1.159,,
12,,isi,,html-keyboard-response,12,28875,0.0-1.0-13.0,0,0,80,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,7.0,3.0,,
13,,feedback,,html-keyboard-response,13,29879,0.0-1.0-14.0-0.0,0,0,80,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,10.0,1.0,,
14,,iti,,html-keyboard-response,14,30882,0.0-1.0-15.0,0,0,80,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,11.0,1.0,,
15,,rl_choice,,html-keyboard-response,15,32384,0.0-1.0-17.0,0,0,80,,,,,,2.0,2.0,1.0,hard,3000.0,1000.0,0.0,40.0,60.0,20.0,80.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,,,,,,,,12.0,1.5,1.0,
16,,rl_choice_warning,,html-keyboard-response,16,33385,0.0-1.0-19.0-0.0,0,0,80,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,13.5,1.0,,
17,,isi,,html-keyboard-response,17,34389,0.0-1.0-20.0,0,0,80,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,14.5,1.0,,
18,,iti,,html-keyboard-response,18,37393,0.0-1.0-22.0,0,0,80,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,15.5,3.0,,
