,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,accuracy,onset,duration,no_response,size_final_tally
0,True,full_screen,d06152022hr1755,fullscreen,0,3369,0.0-0.0,0,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,26046,0.0-1.0-0.0-0.0,0,0,80,"[{""page_index"":0,""viewing_time"":2350},{""page_index"":1,""viewing_time"":717},{""page_index"":2,""viewing_time"":838},{""page_index"":3,""viewing_time"":1477},{""page_index"":4,""viewing_time"":16652},{""page_index"":5,""viewing_time"":641}]",22676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,31023,0.0-1.0-0.0-1.0,0,0,80,,4972.0,"{""Q0"":""True"",""Q1"":""Size on the screen"",""Q2"":""True"",""Q3"":""pointer finger for left and middle finger for right""}",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,missed_instruction_checkup,,html-keyboard-response,3,32634,0.0-1.0-0.0-2.0-0.0,0,0,80,,1609.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_instructions,,instructions,4,36793,0.0-1.0-0.1-0.1,0,0,80,"[{""page_index"":0,""viewing_time"":1940},{""page_index"":1,""viewing_time"":264},{""page_index"":2,""viewing_time"":216},{""page_index"":3,""viewing_time"":516},{""page_index"":4,""viewing_time"":687},{""page_index"":5,""viewing_time"":534}]",4158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,size_comprehension_check,,survey-multi-choice,5,42490,0.0-1.0-0.1-1.1,0,0,80,,5693.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,html-keyboard-response,6,49138,0.0-1.0-1.0,0,0,80,,6646.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,start_run,,html-keyboard-response,7,247917,0.0-1.0-2.0,0,0,80,,198777.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,size_choice,,html-keyboard-response,8,248555,0.0-1.0-3.0,0,0,80,,637.0,,,50.0,0.0,0.0,1.0,1000.0,S-S,,S,S,1.0,1.0,thread,paperclip,thread7,paperclip1,146.0,110.0,/static/Size_judgement/Stimuli/Size_stims/S/thread/thread3.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip9.jpg,1.0,thread,paperclip,S,S,1.0,1.0,thread7,paperclip1,,0.0,0.637,0.0,
9,,size_choice_confirmation,,html-keyboard-response,9,249420,0.0-1.0-4.0-0.0,0,0,80,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.637,0.863,,
10,,iti,,html-keyboard-response,10,250424,0.0-1.0-5.0,0,0,80,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.0,,
11,,size_choice,,html-keyboard-response,11,250782,0.0-1.0-7.0,0,0,80,,356.0,,,50.0,1.0,1.0,1.0,2500.0,M-L,1.0,L,M,3.0,2.0,mailbox,ketchup,mailbox9,ketchup7,48.0,96.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup4.jpg,1.0,mailbox,ketchup,L,M,3.0,2.0,mailbox9,ketchup7,1.0,2.5,0.356,0.0,
12,,size_choice_confirmation,,html-keyboard-response,12,251932,0.0-1.0-8.0-0.0,0,0,80,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.856,1.144,,
13,,iti,,html-keyboard-response,13,254438,0.0-1.0-9.0,0,0,80,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.5,,
14,,size_choice,,html-keyboard-response,14,254695,0.0-1.0-11.0,0,0,80,,256.0,,,50.0,2.0,2.0,1.0,1000.0,L-L,,L,L,3.0,3.0,dishwasher,cooler,dishwasher4,cooler3,23.0,2.0,/static/Size_judgement/Stimuli/Size_stims/L/dishwasher/dishwasher5.jpg,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler2.jpg,1.0,dishwasher,cooler,L,L,3.0,3.0,dishwasher4,cooler3,,6.5,0.256,0.0,
15,,size_choice_confirmation,,html-keyboard-response,15,255944,0.0-1.0-12.0-0.0,0,0,80,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.756,1.244,,
16,,iti,,html-keyboard-response,16,256950,0.0-1.0-13.0,0,0,80,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,
17,,size_choice,,html-keyboard-response,17,257123,0.0-1.0-15.0,0,0,80,,172.0,,,50.0,3.0,3.0,1.0,500.0,L-XL,0.0,L,XL,3.0,4.0,garbagecan,dumptruck,garbagecan9,dumptruck7,38.0,176.0,/static/Size_judgement/Stimuli/Size_stims/L/garbagecan/garbagecan12.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck6.jpg,1.0,garbagecan,dumptruck,L,XL,3.0,4.0,garbagecan9,dumptruck7,0.0,9.0,0.172,0.0,
18,,size_choice_confirmation,,html-keyboard-response,18,258453,0.0-1.0-16.0-0.0,0,0,80,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.172,1.328,,
19,,iti,,html-keyboard-response,19,258958,0.0-1.0-17.0,0,0,80,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,0.5,,
20,,size_choice,,html-keyboard-response,20,259133,0.0-1.0-19.0,0,0,80,,174.0,,,50.0,4.0,4.0,1.0,500.0,S-L,1.0,L,S,3.0,1.0,cooler,paperclip,cooler8,paperclip6,7.0,115.0,/static/Size_judgement/Stimuli/Size_stims/L/cooler/cooler5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/paperclip/paperclip6.jpg,1.0,cooler,paperclip,L,S,3.0,1.0,cooler8,paperclip6,1.0,11.0,0.174,0.0,
21,,size_choice_confirmation,,html-keyboard-response,21,260462,0.0-1.0-20.0-0.0,0,0,80,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.174,1.326,,
22,,iti,,html-keyboard-response,22,260965,0.0-1.0-21.0,0,0,80,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.5,,
23,,size_choice,,html-keyboard-response,23,261366,0.0-1.0-23.0,0,0,80,,399.0,,,50.0,5.0,5.0,1.0,1000.0,XL-XL,,XL,XL,4.0,4.0,van,car,van3,car4,192.0,153.0,/static/Size_judgement/Stimuli/Size_stims/XL/van/van6.jpg,/static/Size_judgement/Stimuli/Size_stims/XL/car/car6.jpg,1.0,van,car,XL,XL,4.0,4.0,van3,car4,,13.0,0.399,0.0,
