trial_num,block,is_practice,old_trial,pair_type,left_category_value,right_category_value,delta_category_value,high_cat_on_left,iti,isi,left_category,right_category,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_stim_index,right_stim_index,left_img,right_img,left_img_path,right_img_path
0,0,1,0,20-80,20,80,-60,0,1000,1500,bagel,dumbbell,bagel1,dumbbell1,0,80,0,7,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg
1,0,1,0,20-40,40,20,20,1,1500,3000,calculator,bagel,calculator2,bagel2,20,20,4,1,22829064.thl.jpg,bagels_cinnraisin_large.jpg,Stimuli/Practice_stims/calculator/22829064.thl.jpg,Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg
2,0,1,0,60-80,60,80,-20,0,3000,2000,clock,dumbbell,clock2,dumbbell2,60,100,6,8,26373355.thl.jpg,31K8MR6TMBL._SS500_.jpg,Stimuli/Practice_stims/clock/26373355.thl.jpg,Stimuli/Practice_stims/dumbbell/31K8MR6TMBL._SS500_.jpg
3,0,1,0,40-80,40,60,-20,0,2000,1000,calculator,clock,calculator1,clock1,40,40,3,5,22829184.thl.jpg,Aalarmclock2.jpg,Stimuli/Practice_stims/calculator/22829184.thl.jpg,Stimuli/Practice_stims/clock/Aalarmclock2.jpg
4,0,1,0,20-60,80,20,60,1,2500,2500,dumbbell,bagel,dumbbell3,bagel3,100,40,9,2,41K7QVRX50L._SS500_.jpg,photo-169.jpg,Stimuli/Practice_stims/dumbbell/41K7QVRX50L._SS500_.jpg,Stimuli/Practice_stims/bagel/photo-169.jpg
5,1,0,0,40-40,40,40,0,NA,2000,3000,license plate,hammer,license plate13,hammer11,60,60,233,180,usa-rj-9517.jpg,8oz-hammer-copy.jpg,Stimuli/Experimental_stims/license plate/usa-rj-9517.jpg,Stimuli/Experimental_stims/hammer/8oz-hammer-copy.jpg
6,1,0,0,20-60,20,60,-40,0,1000,1000,flashlight,poker card,flashlight9,poker card6,40,80,144,379,new06.jpg,22864212.thl.jpg,Stimuli/Experimental_stims/flashlight/new06.jpg,Stimuli/Experimental_stims/poker card/22864212.thl.jpg
7,1,0,0,60-60,60,60,0,NA,3500,1500,seashell,nail polish,seashell7,nail polish6,60,60,414,311,seashell34.jpg,127_t.jpg,Stimuli/Experimental_stims/seashell/seashell34.jpg,Stimuli/Experimental_stims/nail polish/127_t.jpg
8,1,0,0,40-80,80,40,40,1,1000,1500,telescope,hat,telescope3,hat5,100,60,495,191,41V67SB5NJL._SS500_.jpg,AREDHAT4.jpg,Stimuli/Experimental_stims/telescope/41V67SB5NJL._SS500_.jpg,Stimuli/Experimental_stims/hat/AREDHAT4.jpg
9,1,0,0,40-60,60,40,20,1,3500,2000,power strip,makeup compact,power strip12,makeup compact1,80,60,402,255,41CXESEH1TL._AA262_.jpg,P190250_hero.jpg,Stimuli/Experimental_stims/power strip/41CXESEH1TL._AA262_.jpg,Stimuli/Experimental_stims/makeup compact/P190250_hero.jpg
10,1,0,1,NaN,NA,NA,NA,NA,3500,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
11,1,0,1,NaN,NA,NA,NA,NA,1000,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
12,1,0,0,40-60,40,60,-20,0,1000,2000,key chain,sofa,key chain13,sofa6,60,80,216,447,Fancy_Liquid_Column_Shape_Key_Ring_with_Floater.jpg,wilkie-sofa-250h-new-cd.jpg,Stimuli/Experimental_stims/key chain/Fancy_Liquid_Column_Shape_Key_Ring_with_Floater.jpg,Stimuli/Experimental_stims/sofa/wilkie-sofa-250h-new-cd.jpg
