trial_num,category,category_group_value
0,bowl,60
1,baby carriage,60
2,vase,40
3,brass instrument,40
4,pen,20
5,watch,40
6,key chain,80
7,telescope,40
8,hat,80
9,sofa,20
10,stool,40
11,playing card,20
12,makeup compact,80
13,door knob,60
14,frame,80
15,small table,20
16,power strip,20
17,seashell,20
18,bench,60
19,flashlight,60
20,necklace,20
21,tent,40
22,hammer,80
23,fan,60
24,lipstick,80
25,microscope,80
26,motorcycle,80
27,dresser,60
28,train,40
29,bongo,60
30,patio lounge chair,20
31,tape,40
32,license plate,80
33,yarn,40
34,desk,60
35,nail polish,20
