index,category,img,is_test_item,exemplar,kinds,shape,color,overall perceptual (upright),overall perceptual (inverted)
0,baby carriage,babycarriage16.jpg,0,baby carriage1,2.2,3.9,4.3,4,3.8
1,baby carriage,Baby_Carriage.jpg,0,baby carriage2,2.2,3.9,4.3,4,3.8
2,baby carriage,Stroller.jpg,0,baby carriage3,2.2,3.9,4.3,4,3.8
3,baby carriage,26373711.thl.jpg,0,baby carriage4,2.2,3.9,4.3,4,3.8
4,baby carriage,Baby_Stroller.jpg,0,baby carriage5,2.2,3.9,4.3,4,3.8
5,baby carriage,Baby_Stroller-1.jpg,0,baby carriage6,2.2,3.9,4.3,4,3.8
6,baby carriage,26423282.thl.jpg,0,baby carriage7,2.2,3.9,4.3,4,3.8
7,baby carriage,peg_perego_uno_revi_black.jpg,0,baby carriage8,2.2,3.9,4.3,4,3.8
8,baby carriage,Antique baby Carriage 7.jpg,0,baby carriage9,2.2,3.9,4.3,4,3.8
9,baby carriage,peg_perego_uno_blu.jpg,0,baby carriage10,2.2,3.9,4.3,4,3.8
10,baby carriage,Baby_Carriage-2.jpg,0,baby carriage11,2.2,3.9,4.3,4,3.8
11,baby carriage,Baby_Carriage-1.jpg,0,baby carriage12,2.2,3.9,4.3,4,3.8
12,baby carriage,300px-Barnevogn2.jpg,0,baby carriage13,2.2,3.9,4.3,4,3.8
13,baby carriage,peg_perego_uno_verde.jpg,0,baby carriage14,2.2,3.9,4.3,4,3.8
14,baby carriage,AANBABYC2.jpg,0,baby carriage15,2.2,3.9,4.3,4,3.8
15,baby carriage,26420052.thl.jpg,test_item,baby carriage16,2.2,3.9,4.3,4,3.8
16,baby carriage,26382000.thl.jpg,test_item,baby carriage17,2.2,3.9,4.3,4,3.8
17,bench,26419975.thl.jpg,0,bench1,2.3,3.6,3.2,3.8,3.7
18,bench,26369969.thl.jpg,0,bench2,2.3,3.6,3.2,3.8,3.7
19,bench,26419540.thl.jpg,0,bench3,2.3,3.6,3.2,3.8,3.7
20,bench,30892819.thl.jpg,0,bench4,2.3,3.6,3.2,3.8,3.7
21,bench,APARKBEN8.jpg,0,bench5,2.3,3.6,3.2,3.8,3.7
22,bench,26370121.thl.jpg,0,bench6,2.3,3.6,3.2,3.8,3.7
23,bench,ACONBENCH.jpg,0,bench7,2.3,3.6,3.2,3.8,3.7
24,bench,APARKBE14.jpg,0,bench8,2.3,3.6,3.2,3.8,3.7
25,bench,26419898.thl.jpg,0,bench9,2.3,3.6,3.2,3.8,3.7
26,bench,APARKBE16.jpg,0,bench10,2.3,3.6,3.2,3.8,3.7
27,bench,22928468.thl.jpg,0,bench11,2.3,3.6,3.2,3.8,3.7
28,bench,22927976.thl.jpg,0,bench12,2.3,3.6,3.2,3.8,3.7
29,bench,ABROWNBE4.jpg,0,bench13,2.3,3.6,3.2,3.8,3.7
30,bench,APARKBENC.jpg,0,bench14,2.3,3.6,3.2,3.8,3.7
31,bench,Abench12.jpg,0,bench15,2.3,3.6,3.2,3.8,3.7
32,bench,AWOODBENC.jpg,test_item,bench16,2.3,3.6,3.2,3.8,3.7
33,bench,26420006.thl.jpg,test_item,bench17,2.3,3.6,3.2,3.8,3.7
34,bongo,ABONGO22.jpg,0,bongo1,2.1,2.9,3.2,3,2.8
35,bongo,26390663.thl.jpg,0,bongo2,2.1,2.9,3.2,3,2.8
36,bongo,26390697.thl.jpg,0,bongo3,2.1,2.9,3.2,3,2.8
37,bongo,26390708.thl.jpg,0,bongo4,2.1,2.9,3.2,3,2.8
38,bongo,ABONGDRUM.jpg,0,bongo5,2.1,2.9,3.2,3,2.8
39,bongo,ABONGO9.jpg,0,bongo6,2.1,2.9,3.2,3,2.8
40,bongo,26461075.thl.jpg,0,bongo7,2.1,2.9,3.2,3,2.8
41,bongo,26390661.thl.jpg,0,bongo8,2.1,2.9,3.2,3,2.8
42,bongo,22946035.thl.jpg,0,bongo9,2.1,2.9,3.2,3,2.8
43,bongo,22945915.thl.jpg,0,bongo10,2.1,2.9,3.2,3,2.8
44,bongo,ABONGO6.jpg,0,bongo11,2.1,2.9,3.2,3,2.8
45,bongo,26686609.thl.jpg,0,bongo12,2.1,2.9,3.2,3,2.8
46,bongo,26388718.thl.jpg,0,bongo13,2.1,2.9,3.2,3,2.8
47,bongo,26390667.thl.jpg,0,bongo14,2.1,2.9,3.2,3,2.8
48,bongo,26390728.thl.jpg,0,bongo15,2.1,2.9,3.2,3,2.8
49,bongo,ABONGO8.jpg,test_item,bongo16,2.1,2.9,3.2,3,2.8
50,bongo,ABONGO13.jpg,test_item,bongo17,2.1,2.9,3.2,3,2.8
51,bowl,ABOWLS6.jpg,0,bowl1,2.2,2.9,4.5,3.3,3.3
52,bowl,AMIXBOWL2.jpg,0,bowl2,2.2,2.9,4.5,3.3,3.3
53,bowl,ABOWL8.jpg,0,bowl3,2.2,2.9,4.5,3.3,3.3
54,bowl,Abowl77.jpg,0,bowl4,2.2,2.9,4.5,3.3,3.3
55,bowl,AWOODBOWL.jpg,0,bowl5,2.2,2.9,4.5,3.3,3.3
56,bowl,Abowl59.jpg,0,bowl6,2.2,2.9,4.5,3.3,3.3
57,bowl,Abowl54.jpg,0,bowl7,2.2,2.9,4.5,3.3,3.3
58,bowl,ASLVBOWL.jpg,0,bowl8,2.2,2.9,4.5,3.3,3.3
59,bowl,21123_285.jpg,0,bowl9,2.2,2.9,4.5,3.3,3.3
60,bowl,Abowl50.jpg,0,bowl10,2.2,2.9,4.5,3.3,3.3
61,bowl,Abowl46.jpg,0,bowl11,2.2,2.9,4.5,3.3,3.3
62,bowl,Abowl52.jpg,0,bowl12,2.2,2.9,4.5,3.3,3.3
63,bowl,Asoupbowl8.jpg,0,bowl13,2.2,2.9,4.5,3.3,3.3
64,bowl,Aredglassbowl.jpg,0,bowl14,2.2,2.9,4.5,3.3,3.3
65,bowl,Awhitebowl2.jpg,0,bowl15,2.2,2.9,4.5,3.3,3.3
66,bowl,ABOWL9.jpg,test_item,bowl16,2.2,2.9,4.5,3.3,3.3
67,bowl,ASALABOWL.jpg,test_item,bowl17,2.2,2.9,4.5,3.3,3.3
68,desk,ADESK11.jpg,0,desk1,2.3,3.5,2.4,3.8,2.8
69,desk,AA Luffield Radial crescent Desk 1600mm x 1200mm.jpg,0,desk2,2.3,3.5,2.4,3.8,2.8
70,desk,D-1 Four drawers desk Elm 64x23x33.jpg,0,desk3,2.3,3.5,2.4,3.8,2.8
71,desk,AbbeyMiniRadialBIG(1).jpg,0,desk4,2.3,3.5,2.4,3.8,2.8
72,desk,ADESK6.jpg,0,desk5,2.3,3.5,2.4,3.8,2.8
73,desk,0051507b.jpg,0,desk6,2.3,3.5,2.4,3.8,2.8
74,desk,D-3  One drawer desk  Ming 41.5x25x32.jpg,0,desk7,2.3,3.5,2.4,3.8,2.8
75,desk,26370118.thl.jpg,0,desk8,2.3,3.5,2.4,3.8,2.8
76,desk,desk 189dr96dr chr.jpg,0,desk9,2.3,3.5,2.4,3.8,2.8
77,desk,MEX028.jpg,0,desk10,2.3,3.5,2.4,3.8,2.8
78,desk,Writing_Desk_280_Cutout_Sideview_half.jpg,0,desk11,2.3,3.5,2.4,3.8,2.8
79,desk,ADESK19.jpg,0,desk12,2.3,3.5,2.4,3.8,2.8
80,desk,26427865.thl.jpg,0,desk13,2.3,3.5,2.4,3.8,2.8
81,desk,26419960.thl.jpg,0,desk14,2.3,3.5,2.4,3.8,2.8
82,desk,ADESK21.jpg,0,desk15,2.3,3.5,2.4,3.8,2.8
83,desk,ADESK14.jpg,test_item,desk16,2.3,3.5,2.4,3.8,2.8
84,desk,cornerworkcentreid.jpg,test_item,desk17,2.3,3.5,2.4,3.8,2.8
85,door knob,Brass_Door_Handle.jpg,0,door knob1,2.1,4,2.9,4.1,3.9
86,door knob,500_DECWHIPB.jpg,0,door knob2,2.1,4,2.9,4.1,3.9
87,door knob,020f7ec6-df08-40fa-b3a5-0dcfb762f085_4.jpg,0,door knob3,2.1,4,2.9,4.1,3.9
88,door knob,chrome scroll latch handle.jpg,0,door knob4,2.1,4,2.9,4.1,3.9
89,door knob,Parth_Portofino_500.jpg,0,door knob5,2.1,4,2.9,4.1,3.9
90,door knob,30fdcb17-b0fd-4f26-8cd8-11adde46fb79_4.jpg,0,door knob6,2.1,4,2.9,4.1,3.9
91,door knob,doorknob2.jpg,0,door knob7,2.1,4,2.9,4.1,3.9
92,door knob,pro_l_116_medeco437ul.jpg,0,door knob8,2.1,4,2.9,4.1,3.9
93,door knob,d08d31bb-7484-41db-96f9-297aeb8651cd_4.jpg,0,door knob9,2.1,4,2.9,4.1,3.9
94,door knob,c02a578d-c6cc-44ca-8dd2-de8901e30bd7_4.jpg,0,door knob10,2.1,4,2.9,4.1,3.9
95,door knob,500_MEAMEAOB.jpg,0,door knob11,2.1,4,2.9,4.1,3.9
96,door knob,500_PRACRYOB.jpg,0,door knob12,2.1,4,2.9,4.1,3.9
97,door knob,500_CLAWALBC.jpg,0,door knob13,2.1,4,2.9,4.1,3.9
