trial_num,block,pair_type,iti,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,delta_size,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img,right_img,left_img_path,right_img_path
0,1,M-XL,1500,1,XL,M,4,2,2,crane,handsaw,crane1,handsaw10,160,89,crane7.jpg,handsaw10.jpg,Stimuli/Size_stims/XL/crane/crane7.jpg,Stimuli/Size_stims/M/handsaw/handsaw10.jpg
1,1,M-L,1500,0,M,L,2,3,-1,basketball,garbagecan,basketball10,garbagecan5,59,34,basketball4.jpg,garbagecan3.jpg,Stimuli/Size_stims/M/basketball/basketball4.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan3.jpg
2,1,XL-XL,1000,NA,XL,XL,4,4,0,dumptruck,crane,dumptruck9,crane9,178,168,dumptruck5.jpg,crane8.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,Stimuli/Size_stims/XL/crane/crane8.jpg
3,1,S-S,500,NA,S,S,1,1,0,screws,paperclip,screws9,paperclip6,128,115,screws8.jpg,paperclip6.jpg,Stimuli/Size_stims/S/screws/screws8.jpg,Stimuli/Size_stims/S/paperclip/paperclip6.jpg
4,1,M-L,2500,1,L,M,3,2,1,deskchair,handsaw,deskchair9,handsaw9,18,88,deskchair3.jpg,handsaw6.jpg,Stimuli/Size_stims/L/deskchair/deskchair3.jpg,Stimuli/Size_stims/M/handsaw/handsaw6.jpg
5,1,L-XL,3000,0,L,XL,3,4,-1,cooler,car,cooler4,car5,3,154,cooler3.jpg,car11.jpg,Stimuli/Size_stims/L/cooler/cooler3.jpg,Stimuli/Size_stims/XL/car/car11.jpg
6,1,M-XL,1500,1,XL,M,4,2,2,van,basketball,van4,basketball9,193,58,van7.jpg,basketball5.jpg,Stimuli/Size_stims/XL/van/van7.jpg,Stimuli/Size_stims/M/basketball/basketball5.jpg
7,1,S-XL,500,0,S,XL,1,4,-3,paperclip,dumptruck,paperclip4,dumptruck5,113,174,paperclip3.jpg,dumptruck3.jpg,Stimuli/Size_stims/S/paperclip/paperclip3.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck3.jpg
8,1,S-XL,1500,0,S,XL,1,4,-3,die,van,die5,van5,104,194,die3.jpg,van3.jpg,Stimuli/Size_stims/S/die/die3.jpg,Stimuli/Size_stims/XL/van/van3.jpg
9,1,M-XL,1000,1,XL,M,4,2,2,car,ketchup,car10,ketchup8,159,97,car9.jpg,ketchup5.jpg,Stimuli/Size_stims/XL/car/car9.jpg,Stimuli/Size_stims/M/ketchup/ketchup5.jpg
