"trial_num","block","pair_type","iti","isi","high_size_on_left","left_size_group","right_size_group","left_size_num","right_size_num","delta_size","left_category","right_category","left_exemplar","right_exemplar","left_index","right_index","left_img","right_img","left_img_path","right_img_path"
0,1,"S-M",1500,3500,0,"S","M",1,2,-1,"thread","ketchup","thread7","ketchup8",146,97,"thread3.jpg","ketchup5.jpg","Stimuli/Size_stims/S/thread/thread3.jpg","Stimuli/Size_stims/M/ketchup/ketchup5.jpg"
1,1,"L-XL",3000,3000,0,"L","XL",3,4,-1,"cooler","van","cooler3","van4",2,193,"cooler2.jpg","van7.jpg","Stimuli/Size_stims/L/cooler/cooler2.jpg","Stimuli/Size_stims/XL/van/van7.jpg"
2,1,"M-L",1000,2000,0,"M","L",2,3,-1,"basketball","mailbox","basketball7","mailbox3",56,42,"basketball6.jpg","mailbox1.jpg","Stimuli/Size_stims/M/basketball/basketball6.jpg","Stimuli/Size_stims/L/mailbox/mailbox1.jpg"
3,1,"XL-XL",2000,1500,NA,"XL","XL",4,4,0,"tractor","crane","tractor8","crane4",187,163,"tractor10.jpg","crane5.jpg","Stimuli/Size_stims/XL/tractor/tractor10.jpg","Stimuli/Size_stims/XL/crane/crane5.jpg"
4,1,"M-L",1500,2000,1,"L","M",3,2,1,"garbagecan","ketchup","garbagecan5","ketchup1",34,90,"garbagecan3.jpg","ketchup8.jpg","Stimuli/Size_stims/L/garbagecan/garbagecan3.jpg","Stimuli/Size_stims/M/ketchup/ketchup8.jpg"
5,1,"L-XL",1500,1500,0,"L","XL",3,4,-1,"dishwasher","car","dishwasher4","car4",23,153,"dishwasher5.jpg","car6.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher5.jpg","Stimuli/Size_stims/XL/car/car6.jpg"
6,1,"XL-XL",2000,1000,NA,"XL","XL",4,4,0,"car","crane","car10","crane6",159,165,"car9.jpg","crane2.jpg","Stimuli/Size_stims/XL/car/car9.jpg","Stimuli/Size_stims/XL/crane/crane2.jpg"
7,1,"S-L",1000,1000,1,"L","S",3,1,2,"mailbox","thread","mailbox7","thread6",46,145,"mailbox7.jpg","thread2.jpg","Stimuli/Size_stims/L/mailbox/mailbox7.jpg","Stimuli/Size_stims/S/thread/thread2.jpg"
8,1,"S-S",1500,2000,NA,"S","S",1,1,0,"die","teabag","die4","teabag6",103,135,"die2.jpg","teabag6.jpg","Stimuli/Size_stims/S/die/die2.jpg","Stimuli/Size_stims/S/teabag/teabag6.jpg"
9,1,"S-XL",2000,1500,1,"XL","S",4,1,3,"car","screws","car7","screws4",156,123,"car13.jpg","screws6.jpg","Stimuli/Size_stims/XL/car/car13.jpg","Stimuli/Size_stims/S/screws/screws6.jpg"
10,1,"M-M",1500,1000,NA,"M","M",2,2,0,"basketball","coffeemaker","basketball3","coffeemaker7",52,66,"basketball10.jpg","coffeemaker9.jpg","Stimuli/Size_stims/M/basketball/basketball10.jpg","Stimuli/Size_stims/M/coffeemaker/coffeemaker9.jpg"
11,1,"M-XL",1000,2000,0,"M","XL",2,4,-2,"ketchup","dumptruck","ketchup4","dumptruck10",93,179,"ketchup2.jpg","dumptruck4.jpg","Stimuli/Size_stims/M/ketchup/ketchup2.jpg","Stimuli/Size_stims/XL/dumptruck/dumptruck4.jpg"
12,1,"L-XL",1500,1500,1,"XL","L",4,3,1,"dumptruck","mailbox","dumptruck6","mailbox1",175,40,"dumptruck2.jpg","mailbox3.jpg","Stimuli/Size_stims/XL/dumptruck/dumptruck2.jpg","Stimuli/Size_stims/L/mailbox/mailbox3.jpg"
13,1,"S-S",1000,1000,NA,"S","S",1,1,0,"teabag","paperclip","teabag10","paperclip4",139,113,"teabag4.jpg","paperclip3.jpg","Stimuli/Size_stims/S/teabag/teabag4.jpg","Stimuli/Size_stims/S/paperclip/paperclip3.jpg"
14,1,"S-L",3000,1000,0,"S","L",1,3,-2,"screws","cooler","screws3","cooler9",122,8,"screws7.jpg","cooler7.jpg","Stimuli/Size_stims/S/screws/screws7.jpg","Stimuli/Size_stims/L/cooler/cooler7.jpg"
15,1,"M-XL",1500,3000,1,"XL","M",4,2,2,"crane","hairdryer","crane5","hairdryer4",164,73,"crane1.jpg","hairdryer16.jpg","Stimuli/Size_stims/XL/crane/crane1.jpg","Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg"
